transcription_unit_name operon_name promoter_name
asnC-mioC-mnmG asnC-mioC-mnmG-rsmG asnCp
atoDAEB atoDAEB atoDp
betIBA betIBA betIp
betT betT betTp
cadC cadC cadCp
crp crp crpp1
cpdB cpdB cpdBp
fur fldA-uof-fur furpa
glgCAP glgBXCAP glgCp1
speC speC speCp
tdcABCDEFG tdcABCDEFG tdcAp
ubiG ubiG ubiGp
fucPIKUR fucPIKUR fucPp
nupG mutY-yggX-mltC-nupG nupGp
uhpT uhpT uhpTp
melAB melAB melAp
malXY malXY malXp
srlAEBD-gutM-srlR-gutQ srlAEBD-gutM-srlR-gutQ srlAp
udp udp udpP
flhDC flhDC flhDp
malS malS malSp
aldB aldB aldBp
hns hns hnsp
pck pck pckp
cynTSX cynTSX cynTp
cynTS cynTSX cynTp
cynR cynR cynRp
cysPUWAM cysPUWAM cysPp
cysDNC cysDNC cysDp
nupC nupC nupCp
dsdA dsdXA dsdAp
exuT exuT exuTp2
fecIR fecIR fecIp
hycABCDEFGHI hycABCDEFGHI hycAp
hypABCDE hypABCDE-fhlA hypAp
hypABCDE-fhlA hypABCDE-fhlA hypAp
proP proP proPp1
narXL narXL narXp
fdnGHI fdnGHI fdnGp
ndh ndh ndhp
fumB dcuB-fumB fumBp
aspA-dcuA aspA-dcuA aspAp
aspA aspA-dcuA aspAp
fruBKA fruBKA fruBp
pps ppsA ppsp
fepA-entD fepA-entD fepAp
fepB fepB fepBp
fepDGC fepDGC fepDp1
entCEBA-ybdB entCEBAH entCp
tonB tonB tonBp
mglBAC mglBAC mglBp
gatYZABCD gatYZABCD gatYp
gcvTHP gcvTHP gcvTp
gcvA gcvA gcvAp
glnHPQ glnHPQ glnHp2
glpFKX glpFKX glpFp
ihfA thrS-infC-rpmI-rplT-pheMST-ihfA ihfAp4
ihfB cmk-rpsA-ihfB ihfBp
dps dps dpsp
ompR-envZ ompR-envZ ompRp2
thrLABC thrLABC thrLp
thrL thrLABC thrLp
leuLABCD leuLABCD leuLp
leuL leuLABCD leuLp
umuDC umuDC umuDp
lrp lrp lrpp
gltBDF gltBDF gltBp
livJ livJ livJp
livKHMGF livKHMGF livKp1
fpr fpr fprp
nfo nfo nfop
marRAB marRAB marRp
mtlADR mtlADR mtlAp
manXYZ manXYZ manXp
codBA codBA codBp
adhE adhE adhEp1
nrfABCDEFG nrfABCDEFG nrfAp
nhaAR nhaAR nhaAp1
phnCDEEFGHIJKLMNOP phnCDEFGHIJKLMNOP phnCp
pstSCAB-phoU pstSCAB-phoU pstSp
pstS pstSCAB-phoU pstSp
pstSCA pstSCAB-phoU pstSp
speAB speAB speAp
guaBA guaBA guaBp
rbsDACBKR rbsDACBKR rbsDp
wza-wzb-wzc-wcaAB wza-wzb-wzc-wcaAB wzap
rhaT rhaT rhaTp
zwf zwf zwfp
ftsQAZ mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC ftsQp1
soxS soxS soxSp
torCAD torCAD torCp
treBC treBC treBp
rhaBAD rhaBAD rhaBp
lysU lysU lysUp1
oppABCDF oppABCDF oppAp
serA serA serAp1
glnA glnALG glnAp2
glnALG glnALG glnAp2
edd-eda edd-eda eddp1
gntKU gntRKU gntKp
gntK gntRKU gntKp
gntT gntT gntTp1
dnaKJ dnaK-tpke11-dnaJ dnaKp1
dnaKJ dnaK-tpke11-dnaJ dnaKp2
dapB dapB dapBp1
carB carAB carBp
folA folA folAp
ilvIH ilvIH ilvIp4
ilvIH ilvIH ilvIp3
ilvIH ilvIH ilvIp2
pdhR-aceEF-lpdA pdhR-aceEF-lpd pdhRp
aceEF pdhR-aceEF-lpd aceEp
lpdA pdhR-aceEF-lpd lpdAp
degP degP degPp
dapD map-glnD-dapD dapDp
proS proS proSp
dnaQ dnaQ dnaQp1
dnaQ dnaQ dnaQp2
rnhA rnhA rnhAp
pepD pepD pepDp2
pepD pepD pepDp1
lacI mhpR-lacI lacIp
queA queA queAp
tsx tsx tsxp2
tsx tsx tsxp1
clpPX clpPX-lon clpPp1
htpG htpG htpGp1
htpG htpG htpGp2
adk adk adkp
fes-ybdZ-entF-fepE fes-ybdZ-entF-fepE fesp
asnB asnB asnBp
umpH nagBAC-umpH umpHp
glnS glnS glnSp1
fur fldA-uof-fur furpb
gltA gltA gltAp2
sdhDAB sdhCDAB-sucABCD-sdhX sdhDp2
uvrB uvrB uvrBp3
glnHPQ glnHPQ glnHp1
focA-pflB focA-pflB focAp1
focA-pflB focA-pflB focAp3
rpsA-ihfB cmk-rpsA-ihfB rpsAp3
aspC aspC aspCp
ompA ompA ompAp2
putP putP putPp2
putP putP putPp3
putP putP putPp4
putP putP putPp5
phoH phoH phoHp1
yceD-rpmF yceD-rpmF-plsX-fabHDG-acpP-fabF yceDp1
yceD-rpmF yceD-rpmF-plsX-fabHDG-acpP-fabF yceDp2
treA treA treAp
hemA hemA-prfA-prmC hemAp2
hemA-prfA-prmC hemA-prfA-prmC hemAp1
trpCBA trpLEDCBA trpCp
lapAB-pyrF-yciH pyrFp
rimL rimL rimLp
manA manA manAp
sodB sodB sodBp
lpp lpp lpp
pheMST-ihfA thrS-infC-rpmI-rplT-pheMST-ihfA pheMp
pheM thrS-infC-rpmI-rplT-pheMST-ihfA pheMp
rplT thrS-infC-rpmI-rplT-pheMST-ihfA rplTp
rplT-pheM thrS-infC-rpmI-rplT-pheMST-ihfA rplTp
infC thrS-infC-rpmI-rplT-pheMST-ihfA infCp
pfkB pfkB pfkBp1
katE katE katEp
gdhA gdhA gdhAp1
gapA-yeaD gapA-yeaD gapAp2
htpX htpX htpXp
eda edd-eda edap3
eda edd-eda edap2
eda edd-eda edap1
ruvAB ruvAB ruvAp2
ruvAB ruvAB ruvAp1
tyrP tyrP tyrPp2
uvrC uvrYC uvrCp3
uvrYC uvrYC uvrYp2
amn amn amnp1
sbcB sbcB sbcBp
hisBHAFI hisLGDCBHAFI hisBp
gnd gnd gndp
micF micF micFp
cvpA-purF-ubiX cvpA-purF-ubiX cvpAp2
